benchmark,inscount
436.cactusADM,2598819640983
435.gromacs,1948694917718
483.xalancbmk,1057903253252
471.omnetpp,571971917187
458.sjeng,2227227449203
481.wrf,3651798449711
447.dealII,1892204734148
444.namd,2288042088026
403.gcc,55429606648
999.specrand,570685954
465.tonto,3556084302173
462.libquantum,2287821852265
453.povray,996442214620
470.lbm,1259843806515
482.sphinx3,3353483217474
433.milc,1182577971182
454.calculix,6706441679818
437.leslie3d,4319465390639
473.astar,865363805090
400.perlbench,677992208448
459.GemsFDTD,2747134274762
410.bwaves,2372304023044
445.gobmk,330235220897
998.specrand,570685954
416.gamess,3738840944873
434.zeusmp,2007674696327
450.soplex,396737711040
401.bzip2,321075549753
456.hmmer,1884154385804
464.h264ref,3035883185313
429.mcf,300181778624

